"cod_mun";"amc";"chave";"estado";"municipio";"polo"
4309902;15056;"IBIRAIARAS (RS)";"RS";"Ibiraiaras";"Nordeste"
4309951;15008;"IBIRAPUITA (RS)";"RS";"Ibirapuita";"Planalto do RS"
4311700;15127;"MACHADINHO (RS)";"RS";"Machadinho";"Nordeste"
4310413;15072;"INHACORA (RS)";"RS";"Inhacora";"Noroeste Missões"
4310009;15112;"IBIRUBA (RS)";"RS";"Ibiruba";"Planalto do RS"
4319372;15075;"SAO PEDRO DO BUTIA (RS)";"RS";"Sao Pedro do Butia";"Noroeste Missões"
4310207;15027;"IJUI (RS)";"RS";"Ijui";"Noroeste Missões"
4310462;15002;"IPIRANGA DO SUL (RS)";"RS";"Ipiranga do Sul";"Planalto do RS"
4310538;15086;"ITAARA (RS)";"RS";"Itaara";"Centro do RS"
4310702;15117;"ITATIBA DO SUL (RS)";"RS";"Itatiba do Sul";"Planalto do RS"
4310850;15038;"JABOTICABA (RS)";"RS";"Jaboticaba";"Médio Alto Uruguai"
4310900;15031;"JACUTINGA (RS)";"RS";"Jacutinga";"Planalto do RS"
4311007;15120;"JAGUARAO (RS)";"RS";"Jaguarao";"Sul do RS"
4311239;15111;"LAGOA BONITA DO SUL (RS)";"RS";"Lagoa Bonita do Sul";"Centro do RS"
4311429;15038;"LAJEADO DO BUGRE (RS)";"RS";"Lajeado do Bugre";"Médio Alto Uruguai"
4311130;15123;"JARI (RS)";"RS";"Jari";"Centro do RS"
4315008;15005;"PORTO LUCENA (RS)";"RS";"Porto Lucena";"Noroeste Missões"
4311155;15123;"JOIA (RS)";"RS";"Joia";"Noroeste Missões"
4311205;15118;"JULIO DE CASTILHOS (RS)";"RS";"Julio de Castilhos";"Centro do RS"
4311270;15124;"LAGOA DOS TRES CANTOS (RS)";"RS";"Lagoa dos Tres Cantos";"Planalto do RS"
4311304;15002;"LAGOA VERMELHA (RS)";"RS";"Lagoa Vermelha";"Nordeste"
4311601;15126;"LIBERATO SALZANO (RS)";"RS";"Liberato Salzano";"Médio Alto Uruguai"
4311809;15056;"MARAU (RS)";"RS";"Marau";"Planalto do RS"
4311908;15129;"MARCELINO RAMOS (RS)";"RS";"Marcelino Ramos";"Planalto do RS"
4312005;15130;"MARIANO MORO (RS)";"RS";"Mariano Moro";"Planalto do RS"
4312179;15054;"MATO QUEIMADO (RS)";"RS";"Mato Queimado";"Noroeste Missões"
4312138;15008;"MATO CASTELHANO (RS)";"RS";"Mato Castelhano";"Planalto do RS"
4312203;15133;"MAXIMILIANO DE ALMEIDA (RS)";"RS";"Maximiliano de Almeida";"Planalto do RS"
4317509;15066;"SANTO ANGELO (RS)";"RS";"Santo Angelo";"Noroeste Missões"
4312377;15002;"MONTE ALEGRE DOS CAMPOS (RS)";"RS";"Monte Alegre dos Campos";"Nordeste"
4312427;15008;"MORMACO (RS)";"RS";"Mormaco";"Planalto do RS"
4312450;15022;"MORRO REDONDO (RS)";"RS";"Morro Redondo";"Sul do RS"
4312617;15002;"MUITOS CAPOES (RS)";"RS";"Muitos Capoes";"Nordeste"
4312658;15124;"NAO ME TOQUE (RS)";"RS";"Nao-Me-Toque";"Planalto do RS"
4312674;15056;"NICOLAU VERGUEIRO (RS)";"RS";"Nicolau Vergueiro";"Planalto do RS"
4312708;15108;"NONOAI (RS)";"RS";"Nonoai";"Médio Alto Uruguai"
4313011;15039;"NOVA CANDELARIA (RS)";"RS";"Nova Candelaria";"Noroeste Missões"
4313334;15004;"NOVA RAMADA (RS)";"RS";"Nova Ramada";"Noroeste Missões"
4313102;15118;"NOVA PALMA (RS)";"RS";"Nova Palma";"Centro do RS"
4313300;15109;"NOVA PRATA (RS)";"RS";"Nova Prata";"Nordeste"
4313391;15051;"NOVO CABRAIS (RS)";"RS";"Novo Cabrais";"Centro do RS"
4313425;15142;"NOVO MACHADO (RS)";"RS";"Novo Machado";"Nordeste"
4313490;15038;"NOVO BARREIRO (RS)";"RS";"Novo Barreiro";"Médio Alto Uruguai"
4313607;15143;"PAIM FILHO (RS)";"RS";"Paim Filho";"Nordeste"
4313706;15038;"PALMEIRA DAS MISSOES (RS)";"RS";"Palmeira das Missoes";"Médio Alto Uruguai"
4313805;15144;"PALMITINHO (RS)";"RS";"Palmitinho";"Médio Alto Uruguai"
4314027;15051;"PARAISO DO SUL (RS)";"RS";"Paraiso do Sul";"Centro do RS"
4313953;15146;"PANTANO GRANDE (RS)";"RS";"Pantano Grande";"Centro do RS"
4314068;15111;"PASSA SETE (RS)";"RS";"Passa Sete";"Centro do RS"
4314209;15074;"PEDRO OSORIO (RS)";"RS";"Pedro Osorio";"Sul do RS"
4314100;15008;"PASSO FUNDO (RS)";"RS";"Passo Fundo";"Planalto do RS"
4314134;15031;"PAULO BENTO (RS)";"RS";"Paulo Bento";"Planalto do RS"
4314308;15150;"PEJUCARA (RS)";"RS";"Pejucara";"Noroeste Missões"
4314407;15022;"PELOTAS (RS)";"RS";"Pelotas";"Sul do RS"
4314472;15118;"PINHAL GRANDE (RS)";"RS";"Pinhal Grande";"Centro do RS"
4314506;15001;"PINHEIRO MACHADO (RS)";"RS";"Pinheiro Machado";"Sul do RS"
4314555;15085;"PIRAPO (RS)";"RS";"Pirapo";"Noroeste Missões"
4314605;15151;"PIRATINI (RS)";"RS";"Piratini";"Sul do RS"
4314704;15014;"PLANALTO (RS)";"RS";"Planalto";"Médio Alto Uruguai"
4314779;15008;"PONTAO (RS)";"RS";"Pontao";"Médio Alto Uruguai"
4315057;15153;"PORTO MAUA (RS)";"RS";"Porto Maua";"Noroeste Missões"
4315107;15154;"PORTO XAVIER (RS)";"RS";"Porto Xavier";"Noroeste Missões"
4315172;15109;"PROTASIO ALVES (RS)";"RS";"Protasio Alves";"Nordeste"
4315313;15031;"QUATRO IRMAOS (RS)";"RS";"Quatro Irmaos";"Planalto do RS"
4315404;15157;"REDENTORA (RS)";"RS";"Redentora";"Médio Alto Uruguai"
4315321;15118;"QUEVEDOS (RS)";"RS";"Quevedos";"Centro do RS"
4315354;15112;"QUINZE DE NOVEMBRO (RS)";"RS";"Quinze de Novembro";"Planalto do RS"
4315503;15158;"RESTINGA SECA (RS)";"RS";"Restinga Seca";"Centro do RS"
4315552;15108;"RIO DOS INDIOS (RS)";"RS";"Rio dos Indios";"Médio Alto Uruguai"
4315602;15159;"RIO GRANDE (RS)";"RS";"Rio Grande";"Sul do RS"
4315701;15146;"RIO PARDO (RS)";"RS";"Rio Pardo";"Centro do RS"
4315909;15083;"RODEIO BONITO (RS)";"RS";"Rodeio Bonito";"Médio Alto Uruguai"
4315958;15085;"ROLADOR (RS)";"RS";"Rolador";"Noroeste Missões"
4316105;15008;"RONDA ALTA (RS)";"RS";"Ronda Alta";"Médio Alto Uruguai"
4317905;15005;"SANTO CRISTO (RS)";"RS";"Santo Cristo";"Noroeste Missões"
4316204;15161;"RONDINHA (RS)";"RS";"Rondinha";"Médio Alto Uruguai"
4316303;15162;"ROQUE GONZALES (RS)";"RS";"Roque Gonzales";"Noroeste Missões"
4316428;15038;"SAGRADA FAMILIA (RS)";"RS";"Sagrada Familia";"Médio Alto Uruguai"
4316436;15164;"SALDANHA MARINHO (RS)";"RS";"Saldanha Marinho";"Planalto do RS"
4316451;15010;"SALTO DO JACUI (RS)";"RS";"Salto do Jacui";"Planalto do RS"
4316600;15165;"SANANDUVA (RS)";"RS";"Sananduva";"Nordeste"
4316733;15002;"SANTA CECILIA DO SUL (RS)";"RS";"Santa Cecilia do Sul";"Nordeste"
4316808;15035;"SANTA CRUZ DO SUL (RS)";"RS";"Santa Cruz do Sul";"Centro do RS"
4317756;15008;"SANTO ANTONIO DO PLANALTO (RS)";"RS";"Santo Antonio do Planalto";"Planalto do RS"
4316907;15086;"SANTA MARIA (RS)";"RS";"Santa Maria";"Centro do RS"
4317202;15169;"SANTA ROSA (RS)";"RS";"Santa Rosa";"Noroeste Missões"
4317004;15167;"SANTANA DA BOA VISTA (RS)";"RS";"Santana da Boa Vista";"Sul do RS"
4317558;15071;"SANTO ANTONIO DO PALMA (RS)";"RS";"Santo Antonio do Palma";"Nordeste"
4317954;15053;"SANTO EXPEDITO DO SUL (RS)";"RS";"Santo Expedito do Sul";"Nordeste"
4317806;15171;"SANTO AUGUSTO (RS)";"RS";"Santo Augusto";"Noroeste Missões"
4317707;15170;"SANTO ANTONIO DAS MISSOES (RS)";"RS";"Santo Antonio das Missoes";"Noroeste Missões"
4318424;15143;"SAO JOAO DA URTIGA (RS)";"RS";"Sao Joao da Urtiga";"Nordeste"
4318432;15099;"SAO JOAO DO POLESINE (RS)";"RS";"Sao Joao do Polesine";"Centro do RS"
4318440;15109;"SAO JORGE (RS)";"RS";"Sao Jorge";"Nordeste"
4318457;15038;"SAO JOSE DAS MISSOES (RS)";"RS";"Sao Jose das Missoes";"Médio Alto Uruguai"
4318606;15053;"SAO JOSE DO OURO (RS)";"RS";"Sao Jose do Ouro";"Nordeste"
4318804;15174;"SAO LOURENCO DO SUL (RS)";"RS";"Sao Lourenco do Sul";"Sul do RS"
4318903;15085;"SAO LUIZ GONZAGA (RS)";"RS";"Sao Luiz Gonzaga";"Noroeste Missões"
4319109;15176;"SAO MARTINHO (RS)";"RS";"Sao Martinho";"Noroeste Missões"
4319703;15036;"SAO VALENTIM (RS)";"RS";"Sao Valentim";"Planalto do RS"
4319125;15086;"SAO MARTINHO DA SERRA (RS)";"RS";"Sao Martinho da Serra";"Centro do RS"
4319737;15027;"SAO VALERIO DO SUL (RS)";"RS";"Sao Valerio do Sul";"Noroeste Missões"
4319158;15066;"SAO MIGUEL DAS MISSOES (RS)";"RS";"Sao Miguel das Missoes";"Noroeste Missões"
4319208;15177;"SAO NICOLAU (RS)";"RS";"Sao Nicolau";"Noroeste Missões"
4319406;15179;"SAO PEDRO DO SUL (RS)";"RS";"Sao Pedro do Sul";"Centro do RS"
4319604;15166;"SAO SEPE (RS)";"RS";"Sao Sepe";"Centro do RS"
4320230;15110;"SEDE NOVA (RS)";"RS";"Sede Nova";"Noroeste Missões"
4320263;15111;"SEGREDO (RS)";"RS";"Segredo";"Centro do RS"
4320305;15182;"SELBACH (RS)";"RS";"Selbach";"Planalto do RS"
4320321;15058;"SENADOR SALGADO FILHO (RS)";"RS";"Senador Salgado Filho";"Noroeste Missões"
4320404;15135;"SERAFINA CORREA (RS)";"RS";"Serafina Correa";"Planalto do RS"
4322186;15053;"TUPANCI DO SUL (RS)";"RS";"Tupanci do Sul";"Nordeste"
4322202;15123;"TUPANCIRETA (RS)";"RS";"Tupancireta";"Centro do RS"
4320503;15183;"SERTAO (RS)";"RS";"Sertao";"Planalto do RS"
4320578;15058;"SETE DE SETEMBRO (RS)";"RS";"Sete de Setembro";"Noroeste Missões"
4320602;15184;"SEVERIANO DE ALMEIDA (RS)";"RS";"Severiano de Almeida";"Planalto do RS"
4320651;15086;"SILVEIRA MARTINS (RS)";"RS";"Silveira Martins";"Centro do RS"
4320701;15111;"SOBRADINHO (RS)";"RS";"Sobradinho";"Centro do RS"
4322301;15153;"TUPARENDI (RS)";"RS";"Tuparendi";"Noroeste Missões"
4322327;15022;"TURUCU (RS)";"RS";"Turucu";"Sul do RS"
4320800;15008;"SOLEDADE (RS)";"RS";"Soledade";"Planalto do RS"
4320909;15002;"TAPEJARA (RS)";"RS";"Tapejara";"Planalto do RS"
4321006;15124;"TAPERA (RS)";"RS";"Tapera";"Planalto do RS"
4321329;15103;"TAQUARUCU DO SUL (RS)";"RS";"Taquarucu do Sul";"Médio Alto Uruguai"
4321402;15033;"TENENTE PORTELA (RS)";"RS";"Tenente Portela";"Noroeste Missões"
4321469;15008;"TIO HUGO (RS)";"RS";"Tio Hugo";"Planalto do RS"
4321477;15095;"TIRADENTES DO SUL (RS)";"RS";"Tiradentes do Sul";"Noroeste Missões"
4321808;15007;"TRES DE MAIO (RS)";"RS";"Tres de Maio";"Noroeste Missões"
4321857;15008;"TRES PALMEIRAS (RS)";"RS";"Tres Palmeiras";"Médio Alto Uruguai"
4321907;15095;"TRES PASSOS (RS)";"RS";"Tres Passos";"Noroeste Missões"
4321956;15108;"TRINDADE DO SUL (RS)";"RS";"Trindade do Sul";"Médio Alto Uruguai"
4322103;15142;"TUCUNDUVA (RS)";"RS";"Tucunduva";"Noroeste Missões"
4322152;15008;"TUNAS (RS)";"RS";"Tunas";"Centro do RS"
5102637;1108;"CAMPO NOVO DO PARECIS (MT)";"MT";"Campo Novo do Parecis";"Médio Norte"
4322806;15082;"VERANOPOLIS (RS)";"RS";"Veranopolis";"Nordeste"
4322905;15070;"VIADUTOS (RS)";"RS";"Viadutos";"Planalto do RS"
4323101;15189;"VICENTE DUTRA (RS)";"RS";"Vicente Dutra";"Médio Alto Uruguai"
4323200;15008;"VICTOR GRAEFF (RS)";"RS";"Victor Graeff";"Planalto do RS"
4323358;15002;"VILA LANGARO (RS)";"RS";"Vila Langaro";"Planalto do RS"
4323408;15056;"VILA MARIA (RS)";"RS";"Vila Maria";"Planalto do RS"
4323457;15166;"VILA NOVA DO SUL (RS)";"RS";"Vila Nova do Sul";"Centro do RS"
4323705;15033;"VISTA GAUCHA (RS)";"RS";"Vista Gaucha";"Médio Alto Uruguai"
5003256;1070;"COSTA RICA (MS)";"MS";"Costa Rica";"Norte do MS"
5003504;1077;"DOURADINA (MS)";"MS";"Douradina";"Grande Dourados - Fronteira"
5003702;1077;"DOURADOS (MS)";"MS";"Dourados";"Grande Dourados - Fronteira"
4323507;15103;"VISTA ALEGRE (RS)";"RS";"Vista Alegre";"Noroeste Missões"
4323606;15109;"VISTA ALEGRE DO PRATA (RS)";"RS";"Vista Alegre do Prata";"Nordeste"
5000609;1054;"AMAMBAI (MS)";"MS";"Amambai";"Grande Dourados - Fronteira"
5000708;1055;"ANASTACIO (MS)";"MS";"Anastacio";"Centro do MS"
5000856;1057;"ANGELICA (MS)";"MS";"Angelica";"Vale do Ininhema/Cone Sul"
5000906;1058;"ANTONIO JOAO (MS)";"MS";"Antonio Joao";"Grande Dourados - Fronteira"
5001243;1061;"ARAL MOREIRA (MS)";"MS";"Aral Moreira";"Grande Dourados - Fronteira"
5213004;16150;"MAURILANDIA (GO)";"GO";"Maurilandia";"Sudoeste"
5002407;1069;"CAARAPO (MS)";"MS";"Caarapo";"Grande Dourados - Fronteira"
5002902;1073;"CASSILANDIA (MS)";"MS";"Cassilandia";"Norte do MS"
5002951;1073;"CHAPADAO DO SUL (MS)";"MS";"Chapadao do Sul";"Norte do MS"
5003454;1076;"DEODAPOLIS (MS)";"MS";"Deodapolis";"Vale do Ininhema/Cone Sul"
5003801;1079;"FATIMA DO SUL (MS)";"MS";"Fatima do Sul";"Grande Dourados - Fronteira"
5003488;1060;"DOIS IRMAOS DO BURITI (MS)";"MS";"Dois Irmaos do Buriti";"Centro do MS"
5004304;1082;"IGUATEMI (MS)";"MS";"Iguatemi";"Grande Dourados - Fronteira"
5004502;1084;"ITAPORA (MS)";"MS";"Itapora";"Grande Dourados - Fronteira"
5004601;1082;"ITAQUIRAI (MS)";"MS";"Itaquirai";"Vale do Ininhema/Cone Sul"
5004700;1085;"IVINHEMA (MS)";"MS";"Ivinhema";"Vale do Ininhema/Cone Sul"
5102678;1118;"CAMPO VERDE (MT)";"MT";"Campo Verde";"Sudeste"
5102694;1110;"CANABRAVA DO NORTE (MT)";"MT";"Canabrava do Norte";"Araguaia MT"
5103502;1108;"DIAMANTINO (MT)";"MT";"Diamantino";"Médio Norte"
5103056;1108;"CLAUDIA (MT)";"MT";"Claudia";"Médio Norte"
5103353;1110;"CONFRESA (MT)";"MT";"Confresa";"Araguaia MT"
5107404;1123;"SAO PEDRO DA CIPA (MT)";"MT";"Sao Pedro da Cipa";"Sudeste"
5103601;1123;"DOM AQUINO (MT)";"MT";"Dom Aquino";"Sudeste"
5104526;1108;"IPIRANGA DO NORTE (MT)";"MT";"Ipiranga do Norte";"Médio Norte"
5104542;1108;"ITANHANGA (MT)";"MT";"Itanhanga";"Médio Norte"
5104807;1123;"JACIARA (MT)";"MT";"Jaciara";"Sudeste"
5105200;1129;"JUSCIMEIRA (MT)";"MT";"Juscimeira";"Sudeste"
5105259;1108;"LUCAS DO RIO VERDE (MT)";"MT";"Lucas do Rio Verde";"Médio Norte"
5105580;1108;"MARCELANDIA (MT)";"MT";"Marcelandia";"Médio Norte"
5106224;1108;"NOVA MUTUM (MT)";"MT";"Nova Mutum";"Médio Norte"
5107297;1126;"SAO JOSE DO POVO (MT)";"MT";"Sao Jose do Povo";"Sudeste"
5107305;1108;"SAO JOSE DO RIO CLARO (MT)";"MT";"Sao Jose do Rio Claro";"Médio Norte"
5107602;1126;"RONDONOPOLIS (MT)";"MT";"Rondonopolis";"Sudeste"
5107909;1108;"SINOP (MT)";"MT";"Sinop";"Médio Norte"
5107925;1108;"SORRISO (MT)";"MT";"Sorriso";"Médio Norte"
5107941;1108;"TABAPORA (MT)";"MT";"Tabapora";"Médio Norte"
5108006;1108;"TAPURAH (MT)";"MT";"Tapurah";"Médio Norte"
5108501;1108;"VERA (MT)";"MT";"Vera";"Médio Norte"
5108907;1108;"NOVA MARINGA (MT)";"MT";"Nova Maringa";"Médio Norte"
5220264;16115;"SAO MIGUEL DO PASSA QUATRO (GO)";"GO";"Sao Miguel do Passa Quatro";"Estrada de Ferro"
5200134;16041;"ACREUNA (GO)";"GO";"Acreuna";"Sudoeste"
5200506;16047;"ALOANDIA (GO)";"GO";"Aloandia";"Morrinhos - GO"
5202155;16060;"ARAGUAPAZ (GO)";"GO";"Araguapaz";"Norte"
5203104;16065;"BALIZA (GO)";"GO";"Baliza";"Médio Araguaia do Goias"
5204250;16079;"CACHOEIRA DOURADA (GO)";"GO";"Cachoeira Dourada";"Morrinhos - GO"
5220405;16196;"SAO SIMAO (GO)";"GO";"Sao Simao";"Sudoeste"
5204706;16085;"CAMPINORTE (GO)";"GO";"Campinorte";"Norte"
5203575;16071;"BONOPOLIS (GO)";"GO";"Bonopolis";"Norte"
5203906;16074;"BURITI ALEGRE (GO)";"GO";"Buriti Alegre";"Morrinhos - GO"
5204003;16076;"CABECEIRAS (GO)";"GO";"Cabeceiras";"Nordeste Goiano, DF e Entorno"
5204409;16081;"CAIAPONIA (GO)";"GO";"Caiaponia";"Médio Araguaia do Goias"
5204656;16084;"CAMPINACU (GO)";"GO";"Campinacu";"Norte"
5205109;16091;"CATALAO (GO)";"GO";"Catalao";"Estrada de Ferro"
5205455;16095;"CEZARINA (GO)";"GO";"Cezarina";"Sudoeste"
5205471;16057;"CHAPADAO DO CEU (GO)";"GO";"Chapadao do Ceu";"Sudoeste"
5206206;16099;"CRISTALINA (GO)";"GO";"Cristalina";"Estrada de Ferro"
5207352;16108;"EDEALINA (GO)";"GO";"Edealina";"Morrinhos - GO"
5207253;16081;"DOVERLANDIA (GO)";"GO";"Doverlandia";"Médio Araguaia do Goias"
5209937;16079;"INACIOLANDIA (GO)";"GO";"Inaciolandia";"Morrinhos - GO"
5207402;16108;"EDEIA (GO)";"GO";"Edeia";"Morrinhos - GO"
5207907;16112;"FLORES DE GOIAS (GO)";"GO";"Flores de Goias";"Nordeste Goiano, DF e Entorno"
5208004;16113;"FORMOSA (GO)";"GO";"Formosa";"Nordeste Goiano, DF e Entorno"
5208103;16114;"FORMOSO (GO)";"GO";"Formoso";"Norte"
5208152;16115;"GAMELEIRA DE GOIAS (GO)";"GO";"Gameleira de Goias";"Estrada de Ferro"
5209952;16130;"INDIARA (GO)";"GO";"Indiara";"Morrinhos - GO"
5210109;16132;"IPAMERI (GO)";"GO";"Ipameri";"Estrada de Ferro"
5211503;16079;"ITUMBIARA (GO)";"GO";"Itumbiara";"Morrinhos - GO"
5211701;16130;"JANDAIA (GO)";"GO";"Jandaia";"Sudoeste"
5212105;16146;"JOVIANIA (GO)";"GO";"Joviania";"Morrinhos - GO"
5211909;16056;"JATAI (GO)";"GO";"Jatai";"Sudoeste"
5212808;16048;"MARA ROSA (GO)";"GO";"Mara Rosa";"Norte"
5213087;16152;"MINACU (GO)";"GO";"Minacu";"Norte"
5213103;16057;"MINEIROS (GO)";"GO";"Mineiros";"Sudoeste"
5213707;16155;"MONTES CLAROS DE GOIAS (GO)";"GO";"Montes Claros de Goias";"Médio Araguaia do Goias"
5213772;16114;"MONTIVIDIU DO NORTE (GO)";"GO";"Montividiu do Norte";"Norte"
5213806;16156;"MORRINHOS (GO)";"GO";"Morrinhos";"Morrinhos - GO"
5214051;16101;"MUNDO NOVO (GO)";"GO";"Mundo Novo";"Norte"
5214101;16159;"MUTUNOPOLIS (GO)";"GO";"Mutunopolis";"Norte"
5214838;16101;"NOVA CRIXAS (GO)";"GO";"Nova Crixas";"Norte"
5215256;16167;"NOVO PLANALTO (GO)";"GO";"Novo Planalto";"Norte"
5215306;16168;"ORIZONA (GO)";"GO";"Orizona";"Estrada de Ferro"
5215603;16171;"PADRE BERNARDO (GO)";"GO";"Padre Bernardo";"Nordeste Goiano, DF e Entorno"
5215702;16095;"PALMEIRAS DE GOIAS (GO)";"GO";"Palmeiras de Goias";"Sudoeste"
5215900;16173;"PALMINOPOLIS (GO)";"GO";"Palminopolis";"Sudoeste"
5216007;16174;"PANAMA (GO)";"GO";"Panama";"Morrinhos - GO"
5216403;16176;"PARAUNA (GO)";"GO";"Parauna";"Sudoeste"
5216452;16056;"PEROLANDIA (GO)";"GO";"Perolandia";"Sudoeste"
5217104;16178;"PIRACANJUBA (GO)";"GO";"Piracanjuba";"Estrada de Ferro"
5217203;16061;"PIRANHAS (GO)";"GO";"Piranhas";"Médio Araguaia do Goias"
5217401;16180;"PIRES DO RIO (GO)";"GO";"Pires do Rio";"Estrada de Ferro"
5217609;16043;"PLANALTINA (GO)";"GO";"Planaltina";"Nordeste Goiano, DF e Entorno"
5217708;16181;"PONTALINA (GO)";"GO";"Pontalina";"Morrinhos - GO"
5218003;16071;"PORANGATU (GO)";"GO";"Porangatu";"Norte"
5218805;16090;"RIO VERDE (GO)";"GO";"Rio Verde";"Sudoeste"
5218508;16122;"QUIRINOPOLIS (GO)";"GO";"Quirinopolis";"Sudoeste"
5219308;16189;"SANTA HELENA DE GOIAS (GO)";"GO";"Santa Helena de Goias";"Sudoeste"
5220207;16167;"SAO MIGUEL DO ARAGUAIA (GO)";"GO";"Sao Miguel do Araguaia";"Norte"
5220603;16115;"SILVANIA (GO)";"GO";"Silvania";"Estrada de Ferro"
5221551;16041;"TURVELANDIA (GO)";"GO";"Turvelandia";"Sudoeste"
5221452;16114;"TROMBAS (GO)";"GO";"Trombas";"Norte"
5221502;16200;"TURVANIA (GO)";"GO";"Turvania";"Sudoeste"
5221577;16101;"UIRAPURU (GO)";"GO";"Uirapuru";"Norte"
5221601;16084;"URUACU (GO)";"GO";"Uruacu";"Norte"
5222005;16204;"VIANOPOLIS (GO)";"GO";"Vianopolis";"Estrada de Ferro"
5222054;16181;"VICENTINOPOLIS (GO)";"GO";"Vicentinopolis";"Morrinhos - GO"
5222203;16113;"VILA BOA (GO)";"GO";"Vila Boa";"Nordeste Goiano, DF e Entorno"
